,speaker,text,cluster tokens,cluster
655,Biden,"Gas and oil because the heat will not be going out. There's so many things that we can do now to create thousands and thousands of jobs. We can get to net zero, in terms of energy production, by 2035. Not only not costing people jobs, creating jobs, creating millions of good-paying jobs. Not 15 bucks an hour, but prevailing wage, by having a new infrastructure that in fact, is green. And the first thing I will do, I will rejoin the Paris Accord. I will join the Paris Accord because with us out of it, look what's happening. It's all falling apart. And talk about someone who has no relationship with foreign policy. The rainforests of Brazil are being torn down, are being ripped down. More carbon is absorbed in that rainforest than every bit of carbon that's emitted in the United States. Instead of doing something about that, I would be gathering up and making sure we had the countries of the world coming up with $20 billion, and say, Here's $20 billion. Stop tearing down the forest. And If you don't, then you're going to have significant economic consequences.",gas oil heat go thing create thousand thousand job net zero term energy production cost people job create job create million good pay job buck hour prevail wage have new infrastructure fact green thing rejoin paris accord join paris accord look happen fall apart talk relationship foreign policy rainforest brazil tear rip carbon absorb rainfor bit carbon emit united states instead gather make sure country world come billion billion stop tear forest go significant economic consequence,0
657,Biden,"Well, he hasn't drawn a line. He wants to make sure that methane's not a problem. You can now emit more methane without it being a problem. Methane. This is a guy who says that you don't have to have mileage standards for automobiles that exist now. This is the guy who says that, the fact that-",draw line want sure methane problem emit methane problem methane guy say mileage standard automobile exist guy say fact that,0
659,Biden,It's all true. And here's the deal-,true deal,1
661,Biden,I'm talking about the Biden plan  -,talk biden plan,0
666,Biden,That is not-,not,0
668,Biden,Not true-,true,1
670,Biden,Not true.,true,1
672,Biden,Not true.,true,1
674,Biden,Simply... Look-,simply look,0
676,Biden,That is simply not the case-,simply case,0
678,Biden,"What it's going to do, it's going to create thousands and millions of jobs. Good paying jobs  .",go go create thousand million job good pay job,0
680,Biden,He doesn't know how to do that-,know that,3
682,Biden,"The fact is, it's going to create millions of good paying jobs, and these tax incentives for people to weatherize, which he wants to get rid of. It's going to make the economy much safer. Look how much we're paying now to deal with the hurricanes, deal with... By the way, he has an answer for hurricanes. He said, maybe we should drop a nuclear weapon on them, and they may-",fact go create million good pay job tax incentive people weatherize want rid go economy safe look pay deal hurricane deal way answer hurricane say maybe drop nuclear weapon may,2
684,Biden,"Yeah, he did say that-",that,0
686,Biden,And here's the deal-,deal,0
688,Biden,"... we're going to be in a position where we can create hard, hard, good jobs by making sure the environment is clean, and we all are in better shape. We spend billions of dollars now, billions of dollars, on floods, hurricanes, rising seas. We're in real trouble. Look what's happened just in the Midwest with these storms that come through and wipe out entire sections and counties in Iowa. They didn't happen before. They're because of global warming. We make up 15% of the world's problem. But the rest of the world, we've got to get them to come along. That's why we have to get back into the Paris Accord.",go position create hard hard good job make sure environment clean well shape spend billion dollar billion dollar flood hurricane rise sea real trouble look happen midwest storm come wipe entire section county iowa happen global warming world problem rest world get come paris accord,0
693,Biden,That is not my plan  . The Green New Deal   is not my plan.  -,plan green new deal plan,0
698,Biden,I did not say that-,that,0
702,Biden,Play it. Play it-,play play it,0
706,Biden,"The final question is, I can't remember which of all his rantings  .",final question remember ranting,4
710,Biden,The economy-,economy,0
712,Biden,"The Green New Deal will pay for itself as we move forward. We're not going to build plants that, in fact, are great polluting plants-",green new deal pay forward go build plant fact great pollute plants,0
714,Biden,Pardon me?,pardon,0
716,Biden,"No, I don't support the Green New Deal.",support green new deal,0
718,Biden,I support  -,support,0
720,Biden,I support   the Biden plan that I put forward.,support biden plan forward,0
722,Biden,"The Biden plan, which is different than what he calls the radical Green New Deal.",biden plan different call radical green new deal,0
724,Biden,"Prepare to let people vote. They should go to iwillvote.com, decide how they're going to vote, when they're going to vote, and what means by which they're going to vote. His own Homeland Security director, and as well as the FBI director, says that there is no evidence at all that mail-in ballots are a source of being manipulated and cheating. They said that. The fact is that there are going to be millions of people because of COVID that are going to be voting by mail-in ballots like he does, by the way. He sits behind the Resolute Desk and sends his ballot to Florida, number one. Number two, we're going to make sure that those people who want to vote in person are able to vote because there are enough poll watchers are there to make sure they can socially distance. The polls are open on time, and the polls stay open until the votes are counted. And this is all about trying to dissuade people from voting because he's trying to scare people into thinking that it's not going to be legitimate.",prepare let people vote iwillvote com decide go vote go vote mean go vote homeland security director fbi director say evidence mail ballot source manipulate cheat say fact go million people covid go vote mail ballot way sit resolute desk send ballot florida go sure people want vote person able vote poll watcher sure socially distance poll open time poll stay open vote count try dissuade people vote try scare people think go legitimate,2
725,Biden,"Show up and vote. You will determine the outcome of this election. Vote, vote, vote. If you're able to vote early in your state, vote early. If you're able to vote in person, vote in person. Vote whatever way is the best way for you, because you will... He cannot stop you from being able to determine the outcome of this election. And in terms of whether or not... When the votes are counted and they're all counted, that will be accepted. If I win, that will be accepted. If I lose, that'll be accepted. But by the way, if in fact he says, he's not sure what he's going to accept. Well, let me tell you something, it doesn't matter, because if we get the votes, it's going to be all over. He's going to go. He can't stay in power. It won't happen. It won't happen, so vote. Just make sure you understand, you have it in your control to determine what this country is going to look like the next four years. Is it going to change, or are you going to get four more years of these lies?",vote determine outcome election vote vote vote able vote early state vote early able vote person vote person vote way good way stop able determine outcome election term vote count count accept win accept lose accept way fact say sure go accept let tell matter vote go go stay power happen happen vote sure understand control determine country go look year go change go year lie,2
746,Biden,There is no  ... There is no evidence of that-,evidence that,0
748,Biden,There is no evidence of that-,evidence that,0
751,Biden,"Five states have had mail-in ballots for the last decade or more. Five, including two Republican states. And you don't have to solicit the ballot. It's sent to you. It's sent to your home. What they're saying is that it has to be a postmark by election day. If it doesn't get in until the seventh, eighth, ninth, it still should be counted. He's just afraid of counting the votes-",state mail ballot decade include republican state solicit ballot send send home say postmark election day seventh eighth ninth count afraid count votes,0
756,Biden,"I am concerned that any court would settle this, because here's the deal. When you get a ballot and you fill it out, you're supposed to have an affidavit. If you didn't know, you have someone say that, this is me. You should be able to, if in fact you can verify that's you before the ballot is thrown out, that's sufficient to be able to count the ballot because someone made a mistake and not dotting the correct I. Who they voted for, testify, say who they voted for, say it's you. That is totally legitimate.",concern court settle deal ballot fill suppose affidavit know able fact verify ballot throw sufficient able count ballot mistake dot correct i vote testify vote totally legitimate,2
761,Biden,Mail service delivers   185 million pieces of mail a day  -,mail service deliver million piece mail day,0
779,Biden,"Yes. And here's the deal. We count the ballots, as you pointed out. Some of these ballots in some states can't even be opened until election day. And if there's thousands of ballots, it's going to take time to do it. And by the way, our military... They've been voting by ballots since the end of the Civil War, in effect. And that's what's going to happen. Why is it, for them, somehow not fraudulent. It's the same process. It's honest. No one has established at all that there is fraud related to mail-in ballots, that somehow it's a fraudulent process.",yes deal count ballot point ballot state open election day thousand ballot go time way military vote ballot end civil war effect go happen fraudulent process honest establish fraud relate mail ballot fraudulent process,2
782,Biden,"He has no idea what he's talking about. Here's the deal. The fact is, I will accept it, and he will too. You know why? Because once the winner is declared after all the ballots are counted, all the votes are counted, that'll be the end of it. That'll be the end of it. And if it's me, in fact, fine. If it's not me, I'll support the outcome. And I'll be a president, not just for the Democrats. I'll be a president for Democrats and Republicans. And this guy-",idea talk deal fact accept know winner declare ballot count vote count end end fact fine support outcome president democrats president democrats republicans guy,2
