,speaker,text,cleaned
202,Wallace,"She said that public health experts quote, “Will be muzzled, will be suppressed.”",say public health expert quote muzzle suppress
203,Biden,"Yes. Well, that’s what he’s going to try to do, but there’s thousands of scientists out there, like here at this great hospital that don’t work for him. Their job doesn’t depend on him. They’re the people… And by the way-",yes go try thousand scientist like great hospital work job depend people way
204,Trump,We spoke to the scientists that are in charge-,speak scientist charge
205,Biden,By the way-,way
206,Trump,… they will have the vaccine very soon.,vaccine soon
207,Wallace,Let him finish.,let finish
208,Biden,"Do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to COVID? He still hasn’t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn’t even tell you. He’s on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-",believe moment tell light lie tell issue relate covid acknowledge know happen know dangerous go february tell record say panic look stock market guess lot people die lot go die get lot smarter lot quicker
209,Wallace,Mr. President?,mr president
210,Trump,"Did you use the word smart? So you said you went to Delaware State, but you forgot the name of your college. You didn’t go to Delaware State. You graduated either the lowest or almost the lowest in your class. Don’t ever use the word smart with me. Don’t ever use that word.",use word smart say go delaware state forget college delaware state graduate low low class use word smart use word
211,Biden,"Oh, give me a break.",break
212,Trump,"Because you know what? There’s nothing smart about you, Joe. 47 years you’ve done nothing.",know smart joe year
213,Biden,"Well, let’s have this debate-",let debate
214,Trump,"Let me just tell you something, Joe. If you would have had the charge of what I was put through, I had to close the greatest economy of the history of our country. And by the way, now it’s being built again and it’s going up fast.",let tell joe charge close great economy history country way build go fast
215,Wallace,"We’ll get to the economy in the next segment, sir.",economy segment sir
216,Trump,Okay. It’s going up fast. I look forward to talking about it.,okay go fast look forward talk
217,Wallace,"Okay. When it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president. I want to quickly go through several of those. Reopenings. Vice President Biden, you have been much more reluctant than President Trump about reopening the economy and schools. Why, sir?",okay come virus handle far take different approach go affect virus handle go forward whichever end president want quickly reopenings vice president biden reluctant president trump reopen economy school sir
218,Biden,"Because he doesn’t have a plan. If I were running it, I’d know what the plan is. You’ve got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-",plan run know plan get provide business ability money able reopen ppe sanitation need provide classic
219,Trump,Tell that to Nancy Pelosi.,tell nancy pelosi
220,Biden,Will he just shush for a minute?,shush minute
221,Trump,"Tell that to Nancy Pelosi, and Schumer [crosstalk 00:04:52] Chuck.",tell nancy pelosi schumer chuck
222,Biden,"Nancy Pelosi and Schumer, they have a plan. He won’t even meet with them. The Republicans won’t meet in the Senate. He sits in his golf course. Well, I mean, literally, think about it. Think about it.",nancy pelosi schumer plan meet republicans meet senate sit golf course mean literally think think
223,Trump,"You probably play more than I do, Joe.",probably play joe
224,Wallace,What about this question of reopenings and the fact-,question reopening fact
225,Trump,"Well, he wants to shut down this country and I want to keep it open, and we did a great thing by shutting it down-",want shut country want open great thing shut down
226,Biden,You just admitted you’d shut it down.,admit shut
227,Trump,"Wait a minute, Joe. Let me shut you down for a second, Joe, just for one second. He wants to shut down the country. We just went through it. We had to, because we didn’t know anything about the disease. Now we’ve found that elderly people with heart problems and diabetes and different problems are very, very vulnerable. We learned a lot. Young children aren’t, even younger people aren’t. We’ve learned a lot, but he wants to shut it down. More people will be hurt by continuing. If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on November 3rd.",wait minute joe let shut second joe second want shut country go know disease find elderly people heart problem diabetes different problem vulnerable learn lot young child young people learn lot want shut people hurt continue look pennsylvania look certain state shut democrat governor reason shut want shut election november rd
228,Wallace,All right. I want to move onto another-,right want another
229,Trump,Because it’s a political thing.,political thing
230,Wallace,I want to move onto another subject.,want subject
231,Biden,I got to respond to that.,get respond
232,Wallace,I want to move-,want move
233,Trump,But those states-,states
234,Wallace,"Gentlemen, I want to move onto another subject.",gentlemen want subject
235,Trump,Those states are not doing well that are shut down right now.,state shut right
236,Biden,I got to respond to that.,get respond
237,Trump,He wants to shut down the whole country.,want shut country
238,Wallace,"President Trump, you have begun to increasingly question the effectiveness of masks as a disease preventer. And in fact, recently you have cited the issue of waiters touching their masks and touching plates. Are you questioning the efficacy of masks?",president trump begin increasingly question effectiveness mask disease preventer fact recently cite issue waiter touch mask touch plate question efficacy mask
239,Trump,"No, I think masks are okay. You have to understand, if you look… I mean, I have a mask right here. I put a mask on when I think I need it. Tonight, as an example, everybody’s had a test and you’ve had social distancing and all of the things that you have to, but I wear masks-",think mask okay understand look mean mask right mask think need tonight example everybody test social distancing thing wear masks
240,Biden,Just like your rally.,like rally
241,Trump,"… when needed. When needed, I wear masks.",need need wear mask
242,Wallace,Okay. Let me ask-,okay let ask
243,Trump,"I don’t wear a mask like him. Every time you see him, he’s got a mask. He could be speaking 200 feet away from him and he shows up with the biggest mask I’ve ever seen. I will say this-",wear mask like time get mask speak foot away show big mask see this
244,Wallace,"Vice President Biden, go ahead, sir.",vice president biden ahead sir
245,Biden,"Look, the way to open businesses is give them the wherewithal to be able open. We provided money, the-",look way open business wherewithal able open provide money the
246,Wallace,"But I was asking you, sir, about masks.",ask sir mask
247,Biden,"Well, masks make a big difference. His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we’d probably save up to 100,000 lives. It matters. It matters.",mask big difference head cdc say wear mask everybody wear mask social distance january probably save life matter matter
248,Trump,And they’ve also said the opposite. They’ve also said-,say opposite said
249,Biden,No serious person has said the opposite. No serious person.,person say opposite person
250,Wallace,Okay. I want to ask you-,okay want ask you
251,Trump,Dr. Fauci. Dr. Fauci said the opposite.,dr fauci dr fauci say opposite
252,Biden,He did not say the opposite.,opposite
253,Wallace,"I want to ask you, we’ve got a little than a minute left in this segment.",want ask get little minute leave segment
254,Trump,"He said very strongly, “Masks are not good.” Then he changed his mind. He said, “Masks are good.”",say strongly mask good change mind say mask good
255,Wallace,I want to ask-,want ask
256,Trump,I’m okay with masks. I’m not fighting masks.,okay mask fight mask
257,Wallace,"I want to ask you both about one last subject because your different approaches has even affected the way that you have campaigned. President Trump, you’re holding large rallies with crowds packed together, thousands of people.",want ask subject different approach affect way campaign president trump hold large rally crowd pack thousand people
258,Trump,Outside.,outside
259,Wallace,"Outside. Yes, sir. Agreed. Vice President Biden, you are holding much smaller events with-",outside yes sir agree vice president biden hold small event with
261,Wallace,… people with masks.,people mask
262,Trump,"Well, it’s true. Nobody shows up to his rallies.",true show rally
263,Wallace,"All right. In any case, why you holding the big rallies? Why you not? You go first, sir.",right case hold big rally sir
264,Trump,Because people want to hear what I have to say. I mean-,people want hear mean
265,Wallace,But are not worried about us spreading disease?,worried spread disease
266,Trump,"… I’m doing my job as a president, and I’ll have 25, 35,000 people show up at airports. We use airports and hangers and we have a lot of people-",job president people airport use airport hanger lot people
267,Wallace,"Are you not worried about the disease issues, sir?",worried disease issue sir
268,Trump,"Well, so far we have had no problem whatsoever. It’s outside. That’s a big difference according to the experts. We do them outside, we have tremendous crowds, as you see, and literally on 24 hours notice. And Joe does the circles and has three people someplace.",far problem whatsoever outside big difference accord expert outside tremendous crowd literally hour notice joe circle people someplace
269,Biden,"By the way, did you see one of the last big rallies he had? A reporter came up to him to ask him a question, he said, “No, no, no. Stand back, put on your mask, put on a mask. Have you been tested? I’m way far away from those other people.” That’s what he said, “I’m going to be okay.” He’s not worried about you. He’s not worried about the people out there [crosstalk 00:08:48].",way big rally reporter come ask question say stand mask mask test way far away people say go okay worried worried people
270,Trump,We’ve had no negative effect.,negative effect
271,Biden,No negative effect. Come on.,negative effect come
272,Trump,"We’ve had no negative effect, and we’ve had 35, 40,000 people at these rallies.",negative effect people rally
273,Wallace,All right. Do you want to just quickly finish up? Because I want to move on to our next-,right want quickly finish want next
274,Biden,"Yes, I would. He’s been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to. He’s a fool on this.",yes totally irresponsible way handle social distancing people wear mask basically encourage fool
275,Trump,"If you could get the crowds, you would have done the same thing. But you can’t. Nobody cares.",crowd thing care
276,Wallace,"Gentlemen, can we move on to the-",gentleman the
277,Trump,No cares.,care
278,Wallace,"Gentlemen, can we move on to the economy?",gentleman economy
279,Trump,Yes.,yes
280,Wallace,"The economy is, I think it’s fair to say, recovering faster than expected from the shutdown-",economy think fair recover fast expect shutdown
281,Trump,Much faster.,fast
282,Wallace,"… in the second quarter. The unemployment rate fell to 8.4% last month. The Federal Reserve says the hit to growth, which is going to be there, is not going to be nearly as big as they had expected. President Trump, you say we are in a V-shaped recovery. Vice President Biden, you say it’s more of a K-shape. What difference does that mean to the American people in terms of the economy? President Trump, in this segment you go first.",second quarter unemployment rate fall month federal reserve say hit growth go go nearly big expect president trump v shape recovery vice president biden k shape difference mean american people term economy president trump segment
283,Trump,"So we built the greatest economy in history. We closed it down because of the China plague. When the plague came in, we closed it down, which was very hard psychologically to do. He didn’t think we should close it down and he was wrong. Again, two million people would be dead now instead of… Still, 204,000 people is too much. One person is too much. Should have never happened from China. But what happened is we closed it down and now we’re reopening and we’re doing record business. We had 10.4 million people in a four month period that we’ve put back into the workforce. That’s a record the likes of which nobody’s ever seen before. And he wants to close down the… He will shut it down again. He will destroy this country.",build great economy history close china plague plague come close hard psychologically think close wrong million people dead instead people person happen china happen close reopen record business million people month period workforce record like see want close shut destroy country
284,Trump,"A lot of people, between drugs and alcohol and depression, when you start shutting it down, you take a look at what’s happening at some of your Democrat-run states where they have these tough shutdowns. And I’m telling you it’s because they don’t want to open it. One of them came out last week, you saw that, “Oh, we’re going to open up on November 9th.” Why November 9th? Because it’s after the election. They think they’re hurting us by keeping them closed. They’re hurting people. People know what to do. They can social distance. They can wash their hands, they can wear masks. They can do whatever they want, but they got to open these states up.",lot people drug alcohol depression start shut look happen democrat run state tough shutdown tell want open come week see go open november th november th election think hurt keep closed hurt people people know social distance wash hand wear mask want get open state
285,Trump,"When you look at North Carolina, when you look, and these governors are under siege, Pennsylvania, Michigan, and a couple of others, you got to open these states up. It’s not fair. You’re talking about almost it’s like being in prison. And you look at what’s going on with divorce, look at what’s going on with alcoholism and drugs. It’s a very, very sad thing. And he’ll close down the whole country. This guy will close down the whole country and destroy our country. Our country is coming back incredibly well, setting records as it does it. We don’t need somebody to come in and say, “Let’s shut it down.”",look north carolina look governor siege pennsylvania michigan couple get open state fair talk like prison look go divorce look go alcoholism drug sad thing close country guy close country destroy country country come incredibly set record need somebody come let shut
286,Wallace,"All right. Your two minutes, sir. We’re now moved to you. As I said, posing the question, the president says it’s a V-shape recovery, you say it’s a K-shaped recovery. What’s the difference?",right minute sir move say pose question president say v shape recovery k shape recovery difference
287,Biden,"The difference is millionaires and billionaires like him in the middle of the COVID crisis have done very well. Billionaires have made another $300 billion because of his profligate tax proposal, and he only focused on the market. But you folks at home, you folks living in Scranton and Claymont and all the small towns and working class towns in America, how well are you doing? This guy paid a total of $750 in taxes.",difference millionaire billionaire like middle covid crisis billionaire billion profligate tax proposal focus market folk home folk live scranton claymont small town working class town america guy pay total taxis
288,Trump,That’s wrong.,wrong
289,Wallace,"Sir, wait. No. Sir-",sir wait sir
291,Wallace,"Yeah, I understand. You’ve agreed to the two minutes, so please let him have it.",understand agree minute let
292,Biden,"Do I get my time back? The fact is that he has in fact, worked on this in a way that he’s going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president. Fewer jobs than when he became president. First one in American history.",time fact fact work way go president united states leave office have few job administration president few job president american history
293,Biden,"Secondly, the people who have lost their jobs are those people who have been on the front lines. Those people who have been saving our lives, those people who have been out there dying. People who’ve been putting themselves in the way to make sure that we could all try to make it. And the idea that he is insisting that we go forward and open when you have almost half the states in America with a significant increase in COVID deaths and COVID cases in the United States of America, and he wants to open it up more. Why is he want to open it up? Why does he take care of the… You can’t fix the economy until you fix the COVID crisis. And he has no intention of doing anything about making it better for you all at home in terms of your health and your safety.",secondly people lose job people line people save life people die people put way sure try idea insist forward open half state america significant increase covid death covid case united states america want open want open care fix economy fix covid crisis intention make well home term health safety
294,Biden,"Schools. Why aren’t schools open? Because it costs a lot of money to open them safely. They were going to give, his administration going to give the teachers and school students masks, and then they decided no, couldn’t do that because it’s not a national emergency. Not a national emergency. They’ve done nothing to help small businesses. Nothing. They’re closing. One in six is now gone. He ought to get on the job and take care of the needs of the American people so we can open safely.",school school open cost lot money open safely go administration go teacher school student mask decide national emergency national emergency help small business close go ought job care need american people open safely
295,Wallace,"All right. Your time is up, sir. We are going to get to-",right time sir go to
296,Trump,I have to respond to that.,respond
297,Wallace,"Well, you both had two minutes, sir.",minute sir
298,Trump,"Excuse me, he made a statement.",excuse statement
300,Trump,"No, people want their schools open. They don’t want to be shut down. They don’t want their state shut down. They want their restaurants. I look at New York. It’s so sad what’s happening in New York. It’s almost like a ghost town, and I’m not sure it can ever recover what they’ve done to New York. People want their places open. They want to get back to their lives.",people want school open want shut want state shut want restaurant look new york sad happen new york like ghost town sure recover new york people want place open want life
301,Biden,People want to be safe.,people want safe
302,Trump,"They’ll be careful, but they want their schools open.",careful want school open
303,Biden,People want to be safe.,people want safe
304,Trump,"I’m the one that brought back football. By the way, I brought back Big Ten football. It was me and I’m very happy to do it-",bring football way bring big football happy it
305,Wallace,All right. Let’s-,right let is
306,Trump,… and people of Ohio are very proud of me. And you know how I found out? When [crosstalk 00:14:35].,people ohio proud know find
307,Wallace,"Gentlemen, we’re going to get to your economic plans going forward in a moment, but first, Mr. President, as you well know, there’s a new report that in 2016, the year you were elected president, and 2017, your first year as president, that you paid $750 a year in federal income tax each of those years. I know that you pay a lot of other taxes, but I’m asking you this specific question. Is it true that you paid $750 in federal income taxes each of those two years?",gentleman go economic plan go forward moment mr president know new report year elect president year president pay year federal income tax year know pay lot taxis ask specific question true pay federal income taxis year
308,Trump,"I paid millions of dollars in taxes, millions of dollars of income tax. And let me just tell you, there was a story in one of the papers that paid-",pay million dollar taxis million dollar income tax let tell story paper paid
309,Biden,Show us your tax returns.,tax return
310,Trump,"I paid $38 million one year, I paid $27 million one year.",pay million year pay million year
311,Biden,Show us your tax returns.,tax return
312,Trump,"You’ll see it as soon as it’s finished, you’ll see it. You know, if you wanted to, go to the Board of Elections. There’s 118 page or so report that says everything I have, every bank I have, I’m totally under leveraged because the assets are extremely good, and I built a great company.",soon finish know want board election page report say bank totally leveraged asset extremely good build great company
313,Wallace,"Sir, I’m asking you a specific question, which is-",sir ask specific question is
314,Trump,But let me tell you-,let tell you
315,Wallace,I understand all of that.,understand
316,Biden,Release your tax return.,release tax return
317,Wallace,I understand all of that-,understand that
318,Trump,Let me-,let me
319,Wallace,"No, Mr. President, I’m asking you a question. Will you tell us how much you paid in federal income taxes in 2016 and 2017?",mr president ask question tell pay federal income taxis
320,Trump,Millions of dollars.,million dollar
321,Wallace,You paid millions of dollars in-,pay million dollar in
322,Trump,"Millions of dollars, yes.",million dollar yes
324,Trump,Millions of dollars. And you’ll get to see it. And you’ll get to see it.,million dollar
326,Trump,But let me just tell you-,let tell you
328,Trump,"Chris, let me just say something, that it was the tax laws. I don’t want to pay tax. Before I came here, I was a private developer, I was a private business people. Like every other private person, unless they’re stupid, they go through the laws, and that’s what it is. He passed a tax bill that gave us all these privileges for depreciation and for tax credits. We build the building and we get tax credits, like the hotel on Pennsylvania Avenue. Which by the way, was given to me by the Obama administration, if you can believe that. Now the man got fired right after that happened, but that’s-",chris let tax law want pay tax come private developer private business people like private person stupid law pass tax bill give privilege depreciation tax credit build building tax credit like hotel pennsylvania avenue way give obama administration believe man get fire right happen is
329,Wallace,"Vice President Biden, you want to respond?",vice president biden want respond
330,Biden,"Yeah, I do want to respond. Look, the tax code that put him in a position that he pays less tax than on the money a school teacher makes is because of him… He says he’s smart because he can take advantage of the tax code. And he does take advantage of the tax code. That’s why I’m going to eliminate the Trump tax cuts. And I’m going to eliminate those tax cuts.",want respond look tax code position pay tax money school teacher make say smart advantage tax code advantage tax code go eliminate trump tax cut go eliminate tax cut
331,Trump,That’s okay.,okay
332,Biden,And make sure that we invest in the people who in fact need the help. People out there need help.,sure invest people fact need help people need help
333,Trump,But why didn’t you do it over the last 25 years?,year
334,Biden,Because you weren’t president-,president
335,Trump,Why didn’t you do it over the last 25 years?,year
336,Biden,Because you weren’t president and screwing things up.,president screw thing
337,Trump,You were a Senator and [crosstalk 00:17:21]-,senator
338,Biden,You’re the worst president America has ever had. Come on.,bad president america come
339,Trump,"Hey, Joe, let me just tell you, Joe. In 47 months, I’ve done more than you’ve done in 47 years, Joe. We’ve done things that you never even thought of doing.",joe let tell joe month year joe thing think
340,Wallace,Okay. Gentlemen?,okay gentleman
341,Trump,"Including fixing the broken military that you gave me, including taking care of your debts.",include fix broken military give include take care debt
342,Wallace,"Mr. President, we’re talking about the economy. I’d like to ask you about your plans going forward because Mr. Vice President, your economic plan-",mr president talk economy like ask plan go forward mr vice president economic plan
344,Wallace,"… if you were to be elected president focuses a lot on big government, big taxes, big spending. I want to focus first on the taxes. You propose more than $4 trillion over a decade in new taxes on individuals making more than $400,000 a year.",elect president focus lot big government big taxis big spending want focus taxis propose trillion decade new taxis individual make year
345,Wallace,"… on individuals making more than $400,000 a year and on corporations. President Trump says that that kind of an increase in taxes is going to hurt the economy as it’s just coming out of a recession.",individual make year corporation president trump say kind increase taxis go hurt economy come recession
346,Biden,"Well, just take a look at what is the analysis done by Wall Street firms, points out that my economic plan would create 7 million more jobs than his in four years, number one. And number two, it would create an additional $1 trillion in economic growth, because it would be about buying American. The federal government spends $600 billion a year on everything from ships, to steel, to buildings and the like. And under my proposal, we’re going to make sure that every penny of that has to be made by a company-",look analysis wall street firm point economic plan create million job year number number create additional trillion economic growth buy american federal government spend billion year ship steel building like proposal go sure penny company
347,Wallace,"But respectfully, sir, I’m talking about taxes, not spending.",respectfully sir talk taxis spend
348,Biden,"By the way, I’m going to eliminate a significant number of the taxes. I’m going to make the corporate tax 28%. It shouldn’t be 21%. You have 91 companies federal, I mean, the fortune 500, who don’t pay a single penny in tax making billions of dollars.",way go eliminate significant number taxis go corporate tax company federal mean fortune pay single penny tax make billion dollar
349,Trump,"Why didn’t you do it before, when you were vice president with Obama?",vice president obama
350,Biden,"Because you in fact passed that, that was your tax proposal.",fact pass tax proposal
351,Trump,I got it done. And you know what happened?,get know happen
352,Biden,"Yeah, you got it done-",get done
353,Trump,Our economy boomed like it’s never boomed before.,economy boom like boom
354,Biden,The economy-,economy
355,Wallace,Mr. President-,mr president
356,Biden,Let me finish.,let finish
357,Wallace,"Mr. President, let me pick up on that. You would continue your free market approach, lower taxes, more deregulation, correct?",mr president let pick continue free market approach low taxis deregulation correct
358,Biden,Not lower tax for the American people.,low tax american people
359,Wallace,But let me-,let me
360,Trump,Excuse me.,excuse
361,Wallace,"You talk about the economy booming. It turns out that in Obama’s final three years as president more jobs were created, a million and a half more jobs, than in the first three years of your presidency.",talk economy boom turn obama final year president job create million half job year presidency
362,Trump,"They had the slowest economic recovery since 1929. It was the slowest recovery. Also, they took over something that was down here. All you had to do is turn on the lights and you pick up a lot. But they had the slowest economic recovery since 1929, and let me tell you about the stock market. When the stock market goes up, that means jobs. It also means 401ks. If you got in, if you ever became president with your ideas, you want to terminate my taxes. I’ll tell you what, you’ll lose. Half of the companies that have poured in here will leave. And plenty of companies that are already here, they’ll leave for other places. [crosstalk 00:20:25] They will leave and you will have a depression, the likes of which you’ve never seen.",slow economic recovery slow recovery take turn light pick lot slow economic recovery let tell stock market stock market go mean job mean ks get president idea want terminate taxis tell lose half company pour leave plenty company leave place leave depression like see
363,Biden,Look-,look
364,Wallace,Mr. Vice President.,mr vice president
365,Biden,"… we inherited the worst recession, short of a depression in American history. I was asked to bring it back. We were able to have an economic recovery that created the jobs you’re talking about. We handed him a booming economy, he blew it.",inherit bad recession short depression american history ask bring able economic recovery create job talk hand boom economy blow
366,Trump,It wasn’t blooming.,bloom
367,Biden,He blew it.,blow
368,Trump,He was in booming. It was the weakest recovery since 1929.,boom weak recovery
369,Wallace,"Wait, wait, is it fair to say he blew it when, in fact-",wait wait fair blow fact
370,Trump,When COVID came along.,covid come
371,Wallace,… when there was record low unemployment before COVID.,record low unemployment covid
372,Biden,"Yeah, because what he did, even before COVID, manufacturing went in the hole. Manufacturing went in a hole-",covid manufacturing go hole manufacturing go hole
373,Trump,"Excuse me, Chris, wait.",excuse chris wait
374,Biden,… number one. Number two-,number number two
375,Trump,Chris.,chris
376,Biden,Number three.,number
377,Trump,"They said it would take… No, you’re on number two.",say number
379,Trump,"Chris, Chris. They said it would take-",chris chris say take
380,Biden,This guy-,guy
381,Trump,"… a miracle to bring back manufacturing. I brought back 700,000 jobs. They brought back nothing. They gave up on manufacturing.",miracle bring manufacturing bring job bring give manufacturing
383,Trump,… standard fare.,standard fare
384,Biden,I’m the guy that brought back the automobile industry.,guy bring automobile industry
385,Trump,He totally gave up on manufacturing.,totally give manufacturing
386,Wallace,"All right, let him-",right let him
387,Biden,"I was asked to bring back Chrysler and General Motors. He brought them back right here in the state of Ohio and Michigan. He blew it. They’re gone. He blew it. And in fact, they’re gone-",ask bring chrysler general motors bring right state ohio michigan blow go blow fact gone
388,Trump,Ohio had the best year it’s ever had last year. Michigan had the best year they’ve ever had.,ohio good year year michigan good year
389,Biden,That is not true.,true
390,Trump,"Many car companies came in from Germany, from Japan, went to Michigan, went to Ohio and they didn’t come in with you. [crosstalk 00:21:47].",car company come germany japan go michigan go ohio come
391,Wallace,"Mr. Vice President, go ahead.",mr vice president ahead
392,Biden,And so you take a look at what he’s actually done. He’s done very little. His trade deals are the same way. He talks about these great trade deals. He talks about the art of the deal. China’s perfected the art of the steel. We have a higher deficit with China now than we did before. We have the highest trade deficit-,look actually little trade deal way talk great trade deal talk art deal china perfect art steel high deficit china high trade deficit
393,Trump,China ate your lunch- [crosstalk 00:00:22:07].,china eat lunch
394,Biden,… with Mexico.,mexico
395,Trump,"China ate your lunch, Joe. And no wonder your son goes in and he takes out billions of dollars. He takes out billions of dollars to manage. He makes millions of dollars. And also, while we’re at it, why is it just out of curiosity, the mayor of Moscow’s wife gave you a son three and a half million dollars?",china eat lunch joe wonder son go take billion dollar take billion dollar manage make million dollar curiosity mayor moscow wife give son half million dollar
396,Biden,That is not true.,true
397,Trump,What did he do to deserve it? What did he do with-,deserve with
398,Biden,None of that is true.,true
399,Trump,"… to deserve $183,000?",deserve
400,Wallace,"Sir, you’ve asked him a question, let him answer it.",sir ask question let answer
401,Biden,None of that is true.,true
402,Trump,"Oh really, he didn’t get three and a half million?",half million
403,Wallace,Mr. President-,mr president
404,Biden,Is totally-,totally
405,Wallace,"Mr. President, please. You’ve asked a question- [crosstalk 00:22:41]",mr president ask question
406,Biden,Totally discredited. Totally discredited. And by the way-,totally discredited totally discredited way
407,Trump,"Well wait, he didn’t get three and a half million dollars, Joe?",wait half million dollar joe
408,Biden,Mr. Vice-,mr vice
409,Trump,He got three and a half million-,get half million
410,Wallace,Mr. President.,mr president
411,Trump,… dollars.,dollar
412,Biden,That is not true.,true
414,Wallace,"Mr. President, it’s an open discussion. Please- [crosstalk 00:22:56]",mr president open discussion please
415,Trump,It’s a fact.,fact
416,Biden,It is not a fact.,fact
417,Wallace,"Well, you have raised an issue, let the Vice President answer.",raise issue let vice president answer
418,Biden,It’s been totally discredited.,totally discredit
419,Trump,"Did Burisma pay him 183,000 a month, with no experience in energy?",burisma pay month experience energy
420,Wallace,Mr. President-,mr president
421,Biden,My son did nothing wrong at Barisma-,son wrong barisma
422,Trump,I think he did.,think
423,Wallace,"Mr. President, let him answer. [crosstalk 00:23:13].",mr president let answer
424,Biden,"He doesn’t want to let me answer, because he knows I have the truth. His position has been totally thoroughly discredited-",want let answer know truth position totally thoroughly discredited
426,Biden,And you can-,can
427,Trump,The media.,medium
428,Biden,"by everybody. Well, by the media, by our allies.",everybody medium ally
429,Trump,"By the media, because they refuse to talk about it-",medium refuse talk it
430,Biden,By the World Bank-,world bank
431,Trump,… because they’re embarrassed.,embarrassed
432,Biden,"By everyone, has discredited. And matter of fact [crosstalk 00:23:30] Matter of fact-",discredit matter fact matter fact
433,Wallace,"Mr. President, please stop.",mr president stop
434,Biden,Even the people who testified under oath-,people testify oath
435,Trump,"So let me ask you this, Joe- [crosstalk 00:23:35].",let ask joe
436,Wallace,"Go ahead, I’m listening to you.",ahead listen
437,Biden,Even the people under-,people under
438,Trump,He got three and a half million dollars from Moscow.,get half million dollar moscow
439,Biden,… testified under oath in his administration said I did my job and I did it very well.,testify oath administration say job
441,Biden,I did it honorably.,honorably
442,Trump,I’d like to know who they are.,like know
443,Biden,"Well, I’ll give you the list of the people who-",list people who
444,Trump,I’ll fire them.,fire
445,Wallace,"No, no. Go ahead, sir.",ahead sir
446,Biden,"I’m sure that you’ve already fired most of them, because they did a good job.",sure fire good job
447,Trump,Some people don’t do a good job.,people good job
448,Biden,"Well, here’s the- [crosstalk 00:23:57]",the
449,Wallace,"Go ahead. You get the- [crosstalk 00:23:57] Wait a minute. You get the final word, Mr.-",ahead the wait minute final word mr
450,Biden,"Well, it’s hard to get any word in with this clown. Excuse me, this person.",hard word clown excuse person
451,Trump,"Hey, let me just tell you, Joe-",let tell joe
452,Biden,"No, no. Mr. President- [crosstalk 00:24:05]",mr president
453,Trump,"Three and a half million, Joe.",half million joe
454,Biden,That is simply not true.,simply true
455,Trump,Why did he deserve three and a half million from Moscow?,deserve half million moscow
456,Biden,"Look, here’s the deal. We want to talk about families and ethics. I don’t want to do that. I mean, his family, we could talk about all night. His family’s already-",look deal want talk family ethic want mean family talk night family already
457,Trump,My family-,family
458,Wallace,"No, no- [crosstalk 00:06:20].",no
459,Trump,My family lost a fortune by coming down and helping us with governance.,family lose fortune come help governance
460,Biden,And that’s such a- [crosstalk 00:24:25],a
461,Wallace,Mr. President-,mr president
462,Trump,Every single one of them lost a fortune-,single lose fortune
463,Biden,"This is not about my family or his family. It’s about your family, the American people. [crosstalk 00:24:32] That’s not true. It doesn’t want to talk about what you need. You, the American people, it’s about you. That’s what we’re talking about here. [crosstalk 00:24:42]",family family family american people true want talk need american people talk
464,Wallace,That’s the end of the segment. We’re moving on.,end segment move
466,Wallace,Vice President-,vice president
467,Trump,"Chris, can I be honest? It’s a very important question-",chris honest important question
468,Biden,Try to be honest.,try honest
470,Trump,He stood up-,stand up
471,Wallace,The answer to the question is no.,answer question
472,Trump,… and the threatened Ukraine-,threaten ukraine
473,Wallace,Sir-,sir
474,Trump,… with a billion dollars-,billion dollars
475,Biden,That is absolutely not true.,absolutely true
476,Wallace,"Stop. [crosstalk 00:25:02] Gentlemen, I hate to raise my voice, but I- [crosstalk 00:25:05] Why should I be different than the two of you? So here’s the deal.",stop gentleman hate raise voice i different deal
477,Biden,That’s a good point.,good point
478,Wallace,"We have six segments. We have ended that segment. We’re going to go to the next segment. In that segment, you each are going to have two uninterrupted moments. In those two interrupted minutes, Mr. President, you can say anything you want. I’m going to ask a question about race, but if you want to answer about something else, go ahead. But I think that the country would be better served, if we allowed both people to speak with fewer interruptions. I’m appealing to you, sir, to do that.",segment end segment go segment segment go uninterrupted moment interrupt minute mr president want go ask question race want answer ahead think country well serve allow people speak few interruption appeal sir
480,Wallace,"Well, frankly, you’ve been doing more interrupting than he has.",frankly interrupting
481,Trump,"Well, that’s all right, but he does plenty.",right plenty
482,Wallace,"Well, sir, less than-",sir than
483,Trump,He does plenty.,plenty
484,Wallace,"No, less than you have. Let’s please continue on. The issue of rice. Vice-President Biden, you say that President Trump’s response to the violence in Charlottesville three years ago, when he talked about very fine people on both sides, was what directly led you to launch this run for president.",let continue issue rice vice president biden president trump response violence charlottesville year ago talk fine people side directly lead launch run president
