,speaker,sentence,gold
442,Biden,We have to have community policing like we had before where the officers get to know the people in the communities.,1
443,Biden,"That's when crime went down, it didn't go up.",1
452,Biden,I've made it clear in my public statements that the violence should be prosecuted.,1
469,Biden,"Under this president, we become weaker, sicker, poor, more divided and more violent.",1
474,Biden,"With regard to being weaker, the fact is that I've gone head to head with Putin and made it clear to him we're not going to take any of his stuff.",1
480,Biden,"So thirdly, we're poor.",1
481,Biden,The billionaires have gotten much more wealthy by a tune of over $3- $400 billion more just since COVID.,1
482,Biden,"You in the home, you got less you're in more trouble than you were before.",1
484,Biden,When we were in office there were 15% less violence in America than there is today.,1
487,Biden,"And with regard to more divided the nation, it can't stay divided.",1
489,Biden,"And speaking of my son, the way you talk about the military, the way you talk about them being losers and being and just being suckers.",1
495,Biden,He was a Patriot and the people left behind there were heroes.,1
515,Biden,"Number two, if in fact, during our administration in the recovery act, I was in charge able to bring down the cost of renewable energy to cheaper than are as cheap as coal and gas and oil.",1
516,Biden,Nobody's going to build another coal fired plant in America.,1
517,Biden,No one's going to build another oil fire plant in America.,1
518,Biden,They're going to move to renewable energy.,1
519,Biden,"Number one, number two, we're going to make sure that we are able to take the federal fleet and turn it into a fleet that's run on their electric vehicles.",1
520,Biden,"Making sure that we can do that, we're going to put 500,000 charging stations in all of the highways that we're going to be building in the future.",1
521,Biden,We're going to build a economy that in fact is going to provide for the ability of us to take 4 million buildings and make sure that they in fact are weatherized in a way that in fact will they'll emit significantly less gas and oil because the heat will not be going out.,1
525,Biden,"We can get to net zero, in terms of energy production, by 2035.",1
526,Biden,"Not only not costing people jobs, creating jobs, creating millions of good-paying jobs.",1
527,Biden,"Not 15 bucks an hour, but prevailing wage, by having a new infrastructure that in fact, is green.",1
528,Biden,"And the first thing I will do, I will rejoin the Paris Accord.",1
532,Biden,"The rainforests of Brazil are being torn down, are being ripped down.",1
533,Biden,More carbon is absorbed in that rainforest than every bit of carbon that's emitted in the United States.,1
534,Biden,"Instead of doing something about that, I would be gathering up and making sure we had the countries of the world coming up with $20 billion, and say, Here's $20 billion.",1
535,Biden,Stop tearing down the forest.,1
536,Biden,"And If you don't, then you're going to have significant economic consequences.",1
555,Biden,"The fact is, it's going to create millions of good paying jobs, and these tax incentives for people to weatherize, which he wants to get rid of.",1
556,Biden,It's going to make the economy much safer.,1
561,Biden,"... we're going to be in a position where we can create hard, hard, good jobs by making sure the environment is clean, and we all are in better shape.",1
562,Biden,"We spend billions of dollars now, billions of dollars, on floods, hurricanes, rising seas.",1
564,Biden,Look what's happened just in the Midwest with these storms that come through and wipe out entire sections and counties in Iowa.,1
566,Biden,They're because of global warming.,1
567,Biden,We make up 15% of the world's problem.,1
568,Biden,"But the rest of the world, we've got to get them to come along.",1
569,Biden,That's why we have to get back into the Paris Accord.,1
571,Biden,The Green New Deal   is not my plan.,1
578,Biden,The Green New Deal will pay for itself as we move forward.,1
579,Biden,"We're not going to build plants that, in fact, are great polluting plants-",1
581,Biden,"No, I don't support the Green New Deal.",1
583,Biden,I support   the Biden plan that I put forward.,1
584,Biden,"The Biden plan, which is different than what he calls the radical Green New Deal.",1
585,Biden,Prepare to let people vote.,1
586,Biden,"They should go to iwillvote.com, decide how they're going to vote, when they're going to vote, and what means by which they're going to vote.",1
587,Biden,"His own Homeland Security director, and as well as the FBI director, says that there is no evidence at all that mail-in ballots are a source of being manipulated and cheating.",1
589,Biden,"The fact is that there are going to be millions of people because of COVID that are going to be voting by mail-in ballots like he does, by the way.",1
591,Biden,"Number two, we're going to make sure that those people who want to vote in person are able to vote because there are enough poll watchers are there to make sure they can socially distance.",1
592,Biden,"The polls are open on time, and the polls stay open until the votes are counted.",1
593,Biden,And this is all about trying to dissuade people from voting because he's trying to scare people into thinking that it's not going to be legitimate.,1
594,Biden,Show up and vote.,1
595,Biden,You will determine the outcome of this election.,1
597,Biden,"If you're able to vote early in your state, vote early.",1
598,Biden,"If you're able to vote in person, vote in person.",1
599,Biden,"Vote whatever way is the best way for you, because you will...",1
600,Biden,He cannot stop you from being able to determine the outcome of this election.,1
602,Biden,"When the votes are counted and they're all counted, that will be accepted.",1
603,Biden,"If I win, that will be accepted.",1
604,Biden,"If I lose, that'll be accepted.",1
605,Biden,"But by the way, if in fact he says, he's not sure what he's going to accept.",1
606,Biden,"Well, let me tell you something, it doesn't matter, because if we get the votes, it's going to be all over.",1
608,Biden,He can't stay in power.,1
611,Biden,"Just make sure you understand, you have it in your control to determine what this country is going to look like the next four years.",1
616,Biden,Five states have had mail-in ballots for the last decade or more.,1
617,Biden,"Five, including two Republican states.",1
618,Biden,And you don't have to solicit the ballot.,1
620,Biden,It's sent to your home.,1
625,Biden,"When you get a ballot and you fill it out, you're supposed to have an affidavit.",1
627,Biden,"You should be able to, if in fact you can verify that's you before the ballot is thrown out, that's sufficient to be able to count the ballot because someone made a mistake and not dotting the correct I.",1
628,Biden,"Who they voted for, testify, say who they voted for, say it's you.",1
630,Biden,Mail service delivers   185 million pieces of mail a day  -,1
633,Biden,"We count the ballots, as you pointed out.",1
634,Biden,Some of these ballots in some states can't even be opened until election day.,1
635,Biden,"And if there's thousands of ballots, it's going to take time to do it.",1
636,Biden,"And by the way, our military...",1
637,Biden,"They've been voting by ballots since the end of the Civil War, in effect.",1
642,Biden,"No one has established at all that there is fraud related to mail-in ballots, that somehow it's a fraudulent process.",1
647,Biden,"Because once the winner is declared after all the ballots are counted, all the votes are counted, that'll be the end of it.",1
652,Biden,I'll be a president for Democrats and Republicans.,1
